Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
2020,31.6,33,30.3,26.9,22.1,21.3,19.4,19.2,21.7,25.6,25,32.4,Western Australia
2020,27.6,25.5,24.9,21.1,17.4,15.6,15.1,15.8,20.5,21.4,28,25.5,South Australia
2020,31.7,27.7,23.4,18.9,15,13.5,13.2,12.8,17.6,20.3,25.1,25.4,Australian Capital Territory
2021,29.9,30,28.5,26.3,23.9,21.7,21.7,23.8,25.2,28.3,27.3,29.5,Queensland
2021,22.5,22.5,21.2,18.5,15.7,13.4,13,14.4,15.8,16.5,18.3,21.1,Tasmania
2021,26.1,25.3,22.5,20.6,17.3,14.5,13.5,15.8,17.9,19.2,20.3,24.7,Victoria
2021,23.7,23.8,23.7,22.4,19.6,17.3,17.2,18.8,20.1,21,20.3,23.1,New South Wales
2021,31.8,31.4,32.3,33,32.7,31.8,32.3,33.4,34.1,34.5,34.7,33.5,Northern Territory
2021,33.6,30.8,30.4,27.3,22.4,18.8,18.3,19.5,21.6,21.8,26.8,32.5,Western Australia
2021,27.9,26.3,25,22.5,19.1,16.6,15.2,16.5,19.2,20.6,22.9,26.2,South Australia
2021,28.1,26.1,23,20.8,16.4,12.9,11.9,14.7,17.3,19.2,20.2,25.2,Australian Capital Territory
2022,29.7,29.1,29.2,27,23.8,21.3,19.9,22.4,24.3,25.8,28,28.1,Queensland
2022,22.1,22.5,21.5,19,15.1,12.5,12.8,14.6,15.3,16.9,18.5,19.8,Tasmania
2022,30,26.3,24.6,20.7,16.4,13.6,13.4,15,16.1,18.9,20.1,24.1,Victoria
2022,24.6,25.1,23.9,22.6,20.4,17.1,16.8,18.2,18.5,20.4,21.2,21.6,New South Wales
2022,32.6,31.7,33.4,33.9,33.6,31.9,29.8,32.8,33.8,33.8,34.1,33.1,Northern Territory
2022,34.6,35.1,30.5,26,22.2,19.9,19,18.5,21.2,22.3,26.1,30.4,Western Australia
2022,28,27.2,26.3,23.4,18.7,15.4,14.8,15.9,16.9,20.2,22.2,26.5,South Australia
2022,26.9,26.2,24,20,16.1,12,12.7,14.1,16.2,18.3,20.7,23.9,Australian Capital Territory
2023,30,30.9,30.8,27.3,24,23.3,22.6,24.5,25.9,27.5,27.9,31.6,Queensland
2023,23.5,23.2,20.7,19,15.5,13.6,14.7,15.2,17.5,18,19,21.3,Tasmania
2023,26.9,25.9,23.8,20.3,16.2,14.4,14.8,15.7,20.7,19.9,22.4,24,Victoria
2023,23.8,24.9,25.8,21.6,19.4,18.1,18.7,18.5,21.2,21.9,21.7,25.1,New South Wales
2023,31.8,31.4,32.5,32.7,32.2,32.6,31.6,33.3,33.7,34.6,34.4,34.1,Northern Territory
2023,33.7,33,30.6,24,22.4,17.4,18.7,20.6,22.7,27.3,31.5,32.5,Western Australia
2023,29.1,28.1,24.1,21.8,17.5,16.9,15.5,17.1,21.1,20.9,23.5,25,South Australia
2023,27.6,27.7,25.5,19.6,15,13.1,14.5,15.7,20.9,21.9,25.5,27.1,Australian Capital Territory
